科目ナンバリング,科目名,氏名,曜時限
U-LAS30 20003 LJ10,コンピュータサイエンス基礎,長谷川　真人,木5
U-LAS14 20021 LE68,Conservation Biology-E2,Andrew MacIntosh,月3
U-LAS14 20020 LE68,Comparative Cognition-E2,Andrew MacIntosh,月3
U-LAS14 20022 LE68,Animal Behavior-E2,Andrew MacIntosh,月4
U-LAS14 20023 LE68,Zoo Biology-E2,Andrew MacIntosh,集中11月～12月
U-LAS70 10001 SJ50,ILASセミナー ：進化と生態の博物学,角谷　岳彦,木5
U-LAS14 20016 LJ68,博物誌学,永益　英敏,月3
U-LAS14 20015 LJ68,野生動物学入門,村山　美穂,金4
U-LAS63 10003 LJ58,宇宙総合学,浅井　歩,火5
U-LAS14 10004 LJ68,生物学のフロンティア,高橋　淑子,火4
U-LAS14 20028 LJ68,遺伝学概論,寺石　政義,火4
U-LAS13 10002 LE60,Essentials of Basic Physical Chemistry-E2,ARIVAZHAGAN RAJENDRAN,月2
U-LAS13 10004 LE60,Basic Physical Chemistry (thermodynamics)-E2,ARIVAZHAGAN RAJENDRAN,月3
U-LAS13 10006 LE60,Basic Physical Chemistry (quantum theory)-E2,ARIVAZHAGAN RAJENDRAN,月2
U-LAS13 10022 LE60,Chemistry of Sustainable Energy-E2,ARIVAZHAGAN RAJENDRAN,月3
U-LAS15 20010 LE58,Introduction to Hydrology-E2,Sameh Kantoush,木4
U-LAS61 10015 LE14,Natural Disaster Science-E2,Sameh Kantoush,木4
U-LAS24 10001 SJ48,ロシア語ＩＡ（文法） R1101,堀口　大樹,火5
U-LAS24 10001 SJ48,ロシア語ＩＡ（文法） R1102,堀口　大樹,木3
U-LAS24 10003 SJ48,ロシア語ＩＢ（文法） R1101,堀口　大樹,火5
U-LAS24 10003 SJ48,ロシア語ＩＢ（文法） R1102,堀口　大樹,木3
U-LAS24 10002 SO48,ロシア語ＩＡ（演習） R1201,Svetlana，Vinogradova,金3
U-LAS24 10002 SO48,ロシア語ＩＡ（演習） R1202,Svetlana，Vinogradova,金4
U-LAS24 10004 SO48,ロシア語ＩＢ（演習） R1201,Svetlana，Vinogradova,金3
U-LAS24 10004 SO48,ロシア語ＩＢ（演習） R1202,Svetlana，Vinogradova,金4
U-LAS24 20001 SO48,ロシア語IIＡ R201,Svetlana，Vinogradova,火5
U-LAS24 20001 SO48,ロシア語IIＡ R202,堀口　大樹,金4
U-LAS24 20002 SO48,ロシア語IIＢ R251,Svetlana，Vinogradova,火5
U-LAS24 20002 SO48,ロシア語IIＢ R252,堀口　大樹,金4
U-LAS28 10001 SJ48,アラビア語ＩＡ（文法） A1101,中道　静香,木3
U-LAS28 10003 SJ48,アラビア語ＩＢ（文法） A1101,中道　静香,木3
U-LAS28 10002 SO48,アラビア語ＩＡ（演習） A1202,岡　真理,金5
U-LAS28 10004 SO48,アラビア語ＩＢ（演習） A1202,岡　真理,金5
U-LAS28 20001 SJ48,アラビア語IIＡ A2101,中道　静香,金3
U-LAS28 20003 SJ48,アラビア語IIＢ A2151,中道　静香,金3
U-LAS28 20002 SO48,アラビア語IIＡ（演習） A2201,岡　真理,木3
U-LAS28 20004 SO48,アラビア語IIＢ（演習） A2251,岡　真理,木3
U-LAS27 10001 SO48,朝鮮語ＩＡ（文法） K1101,高城　建人,火5
U-LAS27 10001 SO48,朝鮮語ＩＡ（文法） K1103,小倉　紀蔵,金5
U-LAS27 10003 SO48,朝鮮語ＩＢ（文法） K1101,高城　建人,火5
U-LAS27 10003 SO48,朝鮮語ＩＢ（文法） K1103,小倉　紀蔵,金5
U-LAS27 10002 SJ48,朝鮮語ＩＡ（演習） K1203,高城　建人,金4
U-LAS27 10002 SJ48,朝鮮語ＩＡ（演習） K1202,小倉　紀蔵,金3
U-LAS27 10004 SJ48,朝鮮語ＩＢ（演習） K1203,高城　建人,金4
U-LAS27 10004 SJ48,朝鮮語ＩＢ（演習） K1202,小倉　紀蔵,金3
U-LAS27 20001 SJ48,朝鮮語IIＡ K2101,小倉　紀蔵,木3
U-LAS27 20003 SJ48,朝鮮語IIＢ K2151,小倉　紀蔵,木3
U-LAS27 20002 SJ48,朝鮮語IIＡ（演習） K2201,小倉　紀蔵,金4
U-LAS27 20004 SJ48,朝鮮語IIＢ（演習） K2251,小倉　紀蔵,金4
U-LAS25 20001 SJ48,イタリア語IIＡ I2101,菅野　類,木4
U-LAS25 20001 SJ48,イタリア語IIＡ I2102,片山　浩史,金3
U-LAS25 20003 SJ48,イタリア語IIＢ I2151,菅野　類,木4
U-LAS25 20003 SJ48,イタリア語IIＢ I2152,片山　浩史,金3
U-LAS25 20002 SO48,イタリア語IIＡ（演習） I2201,Ida Duretto,金4
U-LAS25 20002 SO48,イタリア語IIＡ（演習） I2202,Ida Duretto,金5
U-LAS25 20004 SO48,イタリア語IIＢ（演習） I2251,Ida Duretto,金4
U-LAS25 20004 SO48,イタリア語IIＢ（演習） I2252,Ida Duretto,金5
U-LAS20 10006 SE48,Scientific English IA (Reading and Writing)1T25,CHANG，Kai-Chun,月4
U-LAS20 10007 SE48,Scientific English IB (Technical Communication & Discussions)1T25,KIM，SUNMIN,木3
U-LAS40 20004 LJ26,体力医科学,萩生　翔大,水2
U-LAS40 20004 LJ26,体力医科学,萩生　翔大,水2
U-LAS40 20003 LJ26,生活習慣と生体機能障害,林　達也,金1
U-LAS40 20003 LJ26,生活習慣と生体機能障害,林　達也,金1
U-LAS40 20007 LJ26,発達論Ａ,田中　真介,水2
U-LAS40 20008 LJ26,発達論Ｂ,田中　真介,水2
U-LAS40 20010 SJ26,スポーツ指導法ゼミナールＡ,田中　真介,集中未定
U-LAS40 20011 SJ26,スポーツ指導法ゼミナールＢ,田中　真介,集中未定
U-LAS40 20006 LJ26,運動の生理学,神崎　素樹,火1
U-LAS40 20006 LJ26,運動の生理学,神崎　素樹,火1
U-LAS40 20005 LJ26,運動のしくみ,久代　恵介,月2
U-LAS40 20005 LJ26,運動のしくみ,久代　恵介,月2
U-LAS40 10001 LJ26,運動科学Ｉ,神崎　素樹,水3
U-LAS40 10001 LJ26,運動科学Ｉ,神崎　素樹,水4
U-LAS40 10001 LJ26,運動科学Ｉ,神崎　素樹,水3
U-LAS40 10001 LJ26,運動科学Ｉ,神崎　素樹,水4
U-LAS40 10003 LJ26,健康科学Ｉ,林　達也,火3
U-LAS40 10003 LJ26,健康科学Ｉ,林　達也,木1
U-LAS40 10003 LJ26,健康科学Ｉ,林　達也,火3
U-LAS40 10003 LJ26,健康科学Ｉ,林　達也,木1
U-LAS40 10005 LJ26,健康心理学Ｉ,船曳　康子,木3
U-LAS40 10005 LJ26,健康心理学Ｉ,船曳　康子,木3
U-LAS30 10009 LJ10U-LAS30 10009 LJ12U-LAS30 10009 LJ11,情報基礎［全学向］,立木　秀樹,月4
U-LAS30 20013 LJ11,情報ネットワーク,日置　尋久,水5
U-LAS30 20007 SJ11,プログラミング演習（Lisp）,櫻川　貴司,水4・水5
U-LAS30 10001 SJ11,情報基礎演習［全学向］,日置　尋久,月5
U-LAS30 10001 SJ11,情報基礎演習［全学向］,櫻川　貴司,火3
U-LAS30 10001 SJ11,情報基礎演習［全学向］,櫻川　貴司,火4
U-LAS30 10001 SJ11,情報基礎演習［全学向］,喜多　一,金5
U-LAS30 20008 SJ11,プログラミング演習（Ruby）,日置　尋久,月4・月5
U-LAS30 20009 SJ11,プログラミング演習（Java）,立木　秀樹,火4・火5
U-LAS30 20016 PJ11,コンピュータグラフィックス実習,日置　尋久,水1・水2
U-LAS30 20011 SJ11,プログラミング演習（数理的応用）,立木　秀樹,火4・火5
U-LAS30 10001 SJ11,情報基礎演習［全学向］,酒井　博之,木2
U-LAS30 10001 SJ11,情報基礎演習［全学向］,日置　尋久,月4
U-LAS30 10002 SJ11,情報基礎演習［文学部］,徐　勤,月1
U-LAS30 10002 SJ11,情報基礎演習［文学部］,徐　勤,水1
U-LAS30 10002 SJ11,情報基礎演習［文学部］,大浦　真,月1
U-LAS30 10003 SJ11,"情報基礎演習［理学部］1S1, 1S2, 1S3, 1S4",西村　進,木4
U-LAS30 10003 SJ11,"情報基礎演習［理学部］1S5, 1S6, 1S7, 1S8",西村　進,木5
U-LAS30 10010 LJ12U-LAS30 10010 LJ11U-LAS30 10010 LJ10,情報基礎［理学部］,西村　進,水5
U-LAS30 10011 LJ12U-LAS30 10011 LJ11U-LAS30 10011 LJ10,"情報基礎［医学部］ （人間健康科学科）1M4, 1M5, 1M6",笹山　哲,水3
U-LAS40 20016 LJ26,生体リズムと健康,若村　智子,火1
U-LAS30 10004 SJ11,"情報基礎演習［医学部］ （人間健康科学科）1M4, 1M5, 1M6",笹山　哲,金3
U-LAS40 10002 LJ26,運動科学II,山田　重人,月5
U-LAS40 10002 LJ26,運動科学II,山田　重人,月5
U-LAS40 10004 LJ26,健康科学II,奥野　恭史,金3
U-LAS40 10004 LJ26,健康科学II,木下　彩栄,金3
U-LAS40 10006 LJ26,健康心理学II,千葉　理恵,木2
U-LAS40 10006 LJ26,健康心理学II,千葉　理恵,木2
U-LAS40 20020 LJ26,健康・生命科学入門,竹島　浩,金2
U-LAS30 10012 LJ12U-LAS30 10012 LJ11U-LAS30 10012 LJ10,"情報基礎［薬学部］1φ1, 1φ2",平澤　明,月4
U-LAS30 10005 SJ11,"情報基礎演習［薬学部］1φ1, 1φ2",平澤　明,月5
U-LAS30 10006 SJ11,情報基礎演習［工学部］ （地球工学科）1T1,大城　賢,金4
U-LAS30 10006 SJ11,"情報基礎演習［工学部］ （建築学科）1T5, 1T6",佐藤　裕一,月1
U-LAS30 10006 SJ11,"情報基礎演習［工学部］ （物理工学科）1T7, 1T8, 1T9",安部　正高,月1
U-LAS30 10006 SJ11,"情報基礎演習［工学部］ （物理工学科）1T10, 1T11, 1T12",安部　正高,月1
